line|date|achieved|target
1|22/12/2021|44|49
2|23/12/2021|44|54
3|24/12/2021|44|59
4|25/12/2021|44|64
5|26/12/2021|44|69
6|27/12/2021|44|74
7|28/12/2021|44|79
8|29/12/2021|44|84
9|30/12/2021|44|89
10|31/12/2021|44|94
11|01/01/2022|44|99
12|02/01/2022|44|104
13|03/01/2022|44|109
14|04/01/2022|44|114
15|05/01/2022|44|119
16|06/01/2022|44|124
17|07/01/2022|44|129
18|08/01/2022|44|134
19|09/01/2022|44|139
20|10/01/2022|44|144
21|11/01/2022|44|149
22|12/01/2022|44|154
23|13/01/2022|44|159
24|14/01/2022|44|164
25|15/01/2022|44|169
26|16/01/2022|44|174
27|17/01/2022|44|179
28|18/01/2022|44|184
29|19/01/2022|44|189
30|20/01/2022|44|194
31|21/01/2022|44|199
32|22/01/2022|44|204
33|23/01/2022|44|209
34|24/01/2022|44|214
35|25/01/2022|44|219
36|26/01/2022|44|224
37|27/01/2022|44|229
38|28/01/2022|44|234
39|29/01/2022|44|239
40|30/01/2022|44|244
41|31/01/2022|44|249
42|01/02/2022|44|254
43|02/02/2022|44|259
44|03/02/2022|44|264
45|04/02/2022|44|269
46|05/02/2022|44|274
47|06/02/2022|44|279
48|07/02/2022|44|284
49|08/02/2022|44|289
50|09/02/2022|44|294
51|10/02/2022|44|298
52|11/02/2022|44|302
53|12/02/2022|44|307
54|13/02/2022|44|312
55|14/02/2022|44|316
56|15/02/2022|44|320
57|16/02/2022|44|325
58|17/02/2022|44|330
59|18/02/2022|44|334
60|19/02/2022|44|338
61|20/02/2022|44|343
62|21/02/2022|44|348
63|22/02/2022|44|352
64|23/02/2022|44|356
65|24/02/2022|44|361
66|25/02/2022|44|366
67|26/02/2022|44|370
68|27/02/2022|44|374
69|28/02/2022|44|379
70|01/03/2022|44|384
71|02/03/2022|44|388
72|03/03/2022|44|392
73|04/03/2022|44|397
74|05/03/2022|44|402
75|06/03/2022|44|406
76|07/03/2022|44|410
77|08/03/2022|44|415
78|09/03/2022|44|420
79|10/03/2022|44|424
80|11/03/2022|44|428
81|12/03/2022|44|433
82|13/03/2022|44|438
83|14/03/2022|44|442
84|15/03/2022|44|446
85|16/03/2022|44|451
86|17/03/2022|44|456
87|18/03/2022|44|460
88|19/03/2022|44|464
89|20/03/2022|44|469
90|21/03/2022|44|474
91|22/03/2022|44|478
92|23/03/2022|44|482
93|24/03/2022|44|487
94|25/03/2022|44|492
95|26/03/2022|44|496
96|27/03/2022|44|500
97|28/03/2022|44|505
98|29/03/2022|44|510
99|30/03/2022|44|514
100|31/03/2022|44|518
101|01/04/2022|44|523
102|02/04/2022|44|528
103|03/04/2022|44|532
104|04/04/2022|44|536
105|05/04/2022|44|541
106|06/04/2022|44|546
107|07/04/2022|44|550
108|08/04/2022|44|554
109|09/04/2022|44|559
110|10/04/2022|44|564
111|11/04/2022|44|568
112|12/04/2022|44|572
113|13/04/2022|44|577
114|14/04/2022|44|582
115|15/04/2022|44|586
116|16/04/2022|44|590
117|17/04/2022|44|595
118|18/04/2022|44|600
119|19/04/2022|44|604
120|20/04/2022|44|608
121|21/04/2022|44|613
122|22/04/2022|44|618
123|23/04/2022|44|622
124|24/04/2022|44|626
125|25/04/2022|44|631
126|26/04/2022|44|636
127|27/04/2022|44|640
128|28/04/2022|44|644
129|29/04/2022|44|649
130|30/04/2022|44|654
131|01/05/2022|44|658
132|02/05/2022|44|662
133|03/05/2022|44|667
134|04/05/2022|44|672
135|05/05/2022|44|676
136|06/05/2022|44|680
137|07/05/2022|44|685
138|08/05/2022|44|690
139|09/05/2022|44|694
140|10/05/2022|44|698
141|11/05/2022|44|703
142|12/05/2022|44|708
143|13/05/2022|44|712
144|14/05/2022|44|716
145|15/05/2022|44|721
146|16/05/2022|44|726
147|17/05/2022|44|730
148|18/05/2022|44|734
149|19/05/2022|44|739
150|20/05/2022|44|744
151|21/05/2022|44|748
152|22/05/2022|44|752
153|23/05/2022|44|757
154|24/05/2022|44|762
155|25/05/2022|44|766
156|26/05/2022|44|770
157|27/05/2022|44|775
158|28/05/2022|44|780
159|29/05/2022|44|784
160|30/05/2022|44|788
161|31/05/2022|44|793
162|01/06/2022|44|798
163|02/06/2022|44|802
164|03/06/2022|44|806
165|04/06/2022|44|811
166|05/06/2022|44|816
167|06/06/2022|44|820
168|07/06/2022|44|824
169|08/06/2022|44|829
170|09/06/2022|44|834
171|10/06/2022|44|838
172|11/06/2022|44|842
173|12/06/2022|44|847
174|13/06/2022|44|852
175|14/06/2022|44|856
176|15/06/2022|44|860
177|16/06/2022|44|865
178|17/06/2022|44|870
179|18/06/2022|44|874
180|19/06/2022|44|878
181|20/06/2022|44|883
182|21/06/2022|44|888
183|22/06/2022|44|892
184|23/06/2022|44|896
185|24/06/2022|44|901
186|25/06/2022|44|906
187|26/06/2022|44|910
188|27/06/2022|44|914
189|28/06/2022|44|919
190|29/06/2022|44|924
191|30/06/2022|44|928
192|01/07/2022|44|932
193|02/07/2022|44|937
194|03/07/2022|44|942
195|04/07/2022|44|946
196|05/07/2022|44|946
