line|date|achieved|target
1|23/12/2021|0|44
2|24/12/2021|0|49
3|25/12/2021|0|54
4|26/12/2021|0|59
5|27/12/2021|0|64
6|28/12/2021|0|69
7|29/12/2021|0|74
8|30/12/2021|0|79
9|31/12/2021|0|84
10|01/01/2022|0|89
11|02/01/2022|0|94
12|03/01/2022|0|99
13|04/01/2022|0|104
14|05/01/2022|0|109
15|06/01/2022|0|114
16|07/01/2022|0|119
17|08/01/2022|0|124
18|09/01/2022|0|129
19|10/01/2022|0|134
20|11/01/2022|0|139
21|12/01/2022|0|144
22|13/01/2022|0|149
23|14/01/2022|0|154
24|15/01/2022|0|159
25|16/01/2022|0|164
26|17/01/2022|0|169
27|18/01/2022|0|174
28|19/01/2022|0|179
29|20/01/2022|0|184
30|21/01/2022|0|189
31|22/01/2022|0|194
32|23/01/2022|0|199
33|24/01/2022|0|204
34|25/01/2022|0|209
35|26/01/2022|0|214
36|27/01/2022|0|219
37|28/01/2022|0|224
38|29/01/2022|0|229
39|30/01/2022|0|234
40|31/01/2022|0|239
41|01/02/2022|0|244
42|02/02/2022|0|249
43|03/02/2022|0|254
44|04/02/2022|0|259
45|05/02/2022|0|264
46|06/02/2022|0|269
47|07/02/2022|0|274
48|08/02/2022|0|279
49|09/02/2022|0|284
50|10/02/2022|0|289
51|11/02/2022|0|294
52|12/02/2022|0|299
53|13/02/2022|0|304
54|14/02/2022|0|309
55|15/02/2022|0|314
56|16/02/2022|0|319
57|17/02/2022|0|324
58|18/02/2022|0|329
59|19/02/2022|0|334
60|20/02/2022|0|338
61|21/02/2022|0|343
62|22/02/2022|0|348
63|23/02/2022|0|352
64|24/02/2022|0|356
65|25/02/2022|0|361
66|26/02/2022|0|366
67|27/02/2022|0|370
68|28/02/2022|0|374
69|01/03/2022|0|379
70|02/03/2022|0|384
71|03/03/2022|0|388
72|04/03/2022|0|392
73|05/03/2022|0|397
74|06/03/2022|0|402
75|07/03/2022|0|406
76|08/03/2022|0|410
77|09/03/2022|0|415
78|10/03/2022|0|420
79|11/03/2022|0|424
80|12/03/2022|0|428
81|13/03/2022|0|433
82|14/03/2022|0|438
83|15/03/2022|0|442
84|16/03/2022|0|446
85|17/03/2022|0|451
86|18/03/2022|0|456
87|19/03/2022|0|460
88|20/03/2022|0|464
89|21/03/2022|0|469
90|22/03/2022|0|474
91|23/03/2022|0|478
92|24/03/2022|0|482
93|25/03/2022|0|487
94|26/03/2022|0|492
95|27/03/2022|0|496
96|28/03/2022|0|500
97|29/03/2022|0|505
98|30/03/2022|0|510
99|31/03/2022|0|514
100|01/04/2022|0|518
101|02/04/2022|0|523
102|03/04/2022|0|528
103|04/04/2022|0|532
104|05/04/2022|0|536
105|06/04/2022|0|541
106|07/04/2022|0|546
107|08/04/2022|0|550
108|09/04/2022|0|554
109|10/04/2022|0|559
110|11/04/2022|0|564
111|12/04/2022|0|568
112|13/04/2022|0|572
113|14/04/2022|0|577
114|15/04/2022|0|582
115|16/04/2022|0|586
116|17/04/2022|0|590
117|18/04/2022|0|595
118|19/04/2022|0|600
119|20/04/2022|0|604
120|21/04/2022|0|608
121|22/04/2022|0|613
122|23/04/2022|0|618
123|24/04/2022|0|622
124|25/04/2022|0|626
125|26/04/2022|0|631
126|27/04/2022|0|636
127|28/04/2022|0|640
128|29/04/2022|0|644
129|30/04/2022|0|649
130|01/05/2022|0|654
131|02/05/2022|0|658
132|03/05/2022|0|662
133|04/05/2022|0|667
134|05/05/2022|0|672
135|06/05/2022|0|676
136|07/05/2022|0|680
137|08/05/2022|0|685
138|09/05/2022|0|690
139|10/05/2022|0|694
140|11/05/2022|0|698
141|12/05/2022|0|703
142|13/05/2022|0|708
143|14/05/2022|0|712
144|15/05/2022|0|716
145|16/05/2022|0|721
146|17/05/2022|0|726
147|18/05/2022|0|730
148|19/05/2022|0|734
149|20/05/2022|0|739
150|21/05/2022|0|744
151|22/05/2022|0|748
152|23/05/2022|0|752
153|24/05/2022|0|757
154|25/05/2022|0|762
155|26/05/2022|0|766
156|27/05/2022|0|770
157|28/05/2022|0|775
158|29/05/2022|0|780
159|30/05/2022|0|784
160|31/05/2022|0|788
161|01/06/2022|0|793
162|02/06/2022|0|798
163|03/06/2022|0|802
164|04/06/2022|0|806
165|05/06/2022|0|811
166|06/06/2022|0|816
167|07/06/2022|0|820
168|08/06/2022|0|824
169|09/06/2022|0|829
170|10/06/2022|0|834
171|11/06/2022|0|838
172|12/06/2022|0|842
173|13/06/2022|0|847
174|14/06/2022|0|852
175|15/06/2022|0|856
176|16/06/2022|0|860
177|17/06/2022|0|865
178|18/06/2022|0|870
179|19/06/2022|0|874
180|20/06/2022|0|878
181|21/06/2022|0|883
182|22/06/2022|0|888
183|23/06/2022|0|892
184|24/06/2022|0|896
185|25/06/2022|0|901
186|26/06/2022|0|906
187|27/06/2022|0|910
188|28/06/2022|0|914
189|29/06/2022|0|919
190|30/06/2022|0|924
191|01/07/2022|0|928
192|02/07/2022|0|932
193|03/07/2022|0|937
194|04/07/2022|0|942
195|05/07/2022|0|946
