line|date|achieved|target
1|03/01/2022|0|2
2|04/01/2022|0|4
3|05/01/2022|0|6
4|06/01/2022|0|8
5|07/01/2022|0|10
6|08/01/2022|0|12
7|09/01/2022|0|14
8|10/01/2022|0|16
9|11/01/2022|0|18
10|12/01/2022|0|20
11|13/01/2022|0|22
12|14/01/2022|0|24
13|15/01/2022|0|26
14|16/01/2022|0|28
15|17/01/2022|0|30
16|18/01/2022|0|32
17|19/01/2022|0|34
18|20/01/2022|0|36
19|21/01/2022|0|38
20|22/01/2022|0|40
21|23/01/2022|0|42
22|24/01/2022|0|44
23|25/01/2022|0|46
24|26/01/2022|0|48
25|27/01/2022|0|50
26|28/01/2022|0|52
27|29/01/2022|0|54
28|30/01/2022|0|56
29|31/01/2022|0|58
30|01/02/2022|0|60
31|02/02/2022|0|62
32|03/02/2022|0|64
33|04/02/2022|0|66
34|05/02/2022|0|68
35|06/02/2022|0|70
36|07/02/2022|0|72
37|08/02/2022|0|74
38|09/02/2022|0|76
39|10/02/2022|0|78
40|11/02/2022|0|80
41|12/02/2022|0|82
42|13/02/2022|0|84
43|14/02/2022|0|86
44|15/02/2022|0|88
45|16/02/2022|0|90
46|17/02/2022|0|92
47|18/02/2022|0|94
48|19/02/2022|0|96
49|20/02/2022|0|98
50|21/02/2022|0|100
51|22/02/2022|0|102
52|23/02/2022|0|104
53|24/02/2022|0|106
54|25/02/2022|0|108
55|26/02/2022|0|110
56|27/02/2022|0|112
57|28/02/2022|0|112
58|01/03/2022|0|112
59|02/03/2022|0|112
